"","time","variable","value"
"1",1988-03-01,"rawdata",0.005616379
"2",1988-06-01,"rawdata",0.007139302
"3",1988-09-01,"rawdata",0.0118871
"4",1988-12-01,"rawdata",0.010417752
"5",1989-03-01,"rawdata",0.015369358
"6",1989-06-01,"rawdata",0.011501503
"7",1989-09-01,"rawdata",0.009001822
"8",1989-12-01,"rawdata",0.005938127
"9",1990-03-01,"rawdata",0.00304379
"10",1990-06-01,"rawdata",0.002936498
"11",1990-09-01,"rawdata",0.003052518
"12",1990-12-01,"rawdata",-0.006143912
"13",1991-03-01,"rawdata",0.003134276
"14",1991-06-01,"rawdata",-0.006341087
"15",1991-09-01,"rawdata",-0.011304458
"16",1991-12-01,"rawdata",-0.012267795
"17",1992-03-01,"rawdata",-0.017776617
"18",1992-06-01,"rawdata",-0.017793701
"19",1992-09-01,"rawdata",-0.018824112
"20",1992-12-01,"rawdata",-0.014393902
"21",1993-03-01,"rawdata",-0.016145582
"22",1993-06-01,"rawdata",-0.00913088
"23",1993-09-01,"rawdata",-0.009444809
"24",1993-12-01,"rawdata",-0.000830672
"25",1994-03-01,"rawdata",0.003062936
"26",1994-06-01,"rawdata",0.007053297
"27",1994-09-01,"rawdata",0.004844768
"28",1994-12-01,"rawdata",0.005065859
"29",1995-03-01,"rawdata",0.005437837
"30",1995-06-01,"rawdata",0.005355391
"31",1995-09-01,"rawdata",0.011060322
"32",1995-12-01,"rawdata",0.012592225
"33",1996-03-01,"rawdata",0.013077234
"34",1996-06-01,"rawdata",0.018915616
"35",1996-09-01,"rawdata",0.021300553
"36",1996-12-01,"rawdata",0.026888855
"37",1997-03-01,"rawdata",0.028018441
"38",1997-06-01,"rawdata",0.03417357
"39",1997-09-01,"rawdata",0.036733789
"40",1997-12-01,"rawdata",0.037110339
"41",1998-03-01,"rawdata",0.044167507
"42",1998-06-01,"rawdata",0.04529512
"43",1998-09-01,"rawdata",0.047389665
"44",1998-12-01,"rawdata",0.047745557
